competitionId,eventId,round_number,local_hour,timezone,roundTypeId,bin_15min
HyderabadCubeOpen2019,444,1,8.0,Asia/Kolkata,d,8.0
KoalaficationPalmy2019,444,1,8.0,Pacific/Auckland,d,8.0
NxNsatFinprov2025,333,1,8.0,Asia/Kolkata,1,8.0
EcuadorNationals2025,555,1,8.0,America/Guayaquil,c,8.0
UCOMParaguay2023,555,1,8.0,America/Asuncion,c,8.0
AustinCubingLimitsWinter2025,333,1,8.0,America/Chicago,1,8.0
TheBattleofLexington2018,333,1,8.0,America/New_York,1,8.0
TemeculaValleySpring2024,666,1,8.0,America/Los_Angeles,d,8.0
IrishChampionship2019,333fm,1,8.0,Europe/Dublin,f,8.0
SuratCubingSprint2023,333,1,8.0,Asia/Kolkata,1,8.0
CroatianNationals2023,333fm,1,8.0,Europe/Zagreb,f,8.0
CroatianNationals2019,333fm,1,8.0,Europe/Zagreb,f,8.0
HastyHastings2024,444,1,8.0,Pacific/Auckland,d,8.0
IntercolegiadoSantander2025,444,1,8.0,America/Bogota,c,8.0
KorumCubeChallenge2025,666,1,8.0,Asia/Kolkata,c,8.0
DunwoodyDayBash2019,333fm,1,8.0,America/New_York,f,8.0
SummerKubeVitoria2025,333,1,8.0,America/Sao_Paulo,1,8.0
CaliVuelve2024,444,1,8.0,America/Bogota,c,8.0
CalicutCubingConquest2025,333,1,8.0,Asia/Calcutta,1,8.0
LesFranquesesOpen2019,333fm,1,8.0,Europe/Madrid,f,8.0
Pikkujoulut2018,333fm,1,8.0,Europe/Helsinki,f,8.0
Yumbo2023,444,1,8.0,America/Bogota,c,8.0
Cube4funBelzyceMultiEvents2023,333fm,1,8.0,Europe/Warsaw,f,8.0
PolishOpen2018,666,1,8.0,Europe/Warsaw,c,8.0
TeresinaOpen2019,333fm,1,8.0,America/Eirunepe,f,8.0
Terraza360Xmas2024,444,1,8.0,America/Bogota,d,8.0
SkottegardsskolenOpen2018,333fm,1,8.0,Europe/Copenhagen,f,8.0
SkewbMastersBogota2024,444,1,8.0,America/Bogota,c,8.0
CubeaToninArlington2024,333,1,8.0,America/Chicago,1,8.0
RegionalesSantander2023,333,1,8.0,America/Bogota,1,8.0
MumbaiCubingHeatWave2025,333fm,1,8.0,Asia/Calcutta,f,8.0
DaNangOpen2022,333,1,8.0,Asia/Ho_Chi_Minh,1,8.0
MadridCundinamarcaII2023,444,1,8.0,America/Bogota,c,8.0
BarbeCubingSpring2019,666,1,8.0,America/Chicago,c,8.0
NZNorthIslandChampionship2021,444,1,8.0,Pacific/Auckland,d,8.0
OhioStateExpoOpen2022,555,1,8.0,America/New_York,c,8.0
NewZealandNationals2023,333,1,8.0,Pacific/Auckland,1,8.0
GreekNationals2023,333fm,1,8.0,Europe/Athens,f,8.0
KSRCTCubeOpen2022,333fm,1,8.0,Asia/Kolkata,f,8.0
AvenidaChileII2023,555,1,8.0,America/Bogota,d,8.0
NacionalesElSalvador2018,333,1,8.0,America/El_Salvador,d,8.0
NacionalesElSalvador2018,666,1,8.0,America/El_Salvador,c,8.0
