competitionId,roundTypeId,n_competitors,n_attempts,n_single_rec,n_avg_rec,n_wr_single,n_wr_avg,n_cr_single,n_cr_avg,n_nr_single,n_nr_avg,eventId,n_records,n_wr,n_cr,n_nr,local_hour,bin_15min,timezone,countryId,year,is_final,round_stage,round_name,era
FSUbers702024,f,10,30,0,0,0,0,0,0,0,0,666,0,0,0,0,16.0,16.0,America/New_York,USA,2024,True,Final,Final,2023-2026
FalukorvOpen2023,f,7,21,0,0,0,0,0,0,0,0,666,0,0,0,0,17.75,17.75,Europe/Stockholm,Sweden,2023,True,Final,Final,2023-2026
FargoDome2023,d,21,55,0,0,0,0,0,0,0,0,666,0,0,0,0,13.0,13.0,America/Chicago,USA,2023,False,Early,First round,2023-2026
FargoDome2023,f,7,21,0,0,0,0,0,0,0,0,666,0,0,0,0,16.75,16.75,America/Chicago,USA,2023,True,Final,Final,2023-2026
FargoFall2018,d,10,26,0,0,0,0,0,0,0,0,666,0,0,0,0,14.5,14.5,America/Chicago,USA,2018,False,Early,First round,2016-2018
FargoFall2018,f,7,21,0,0,0,0,0,0,0,0,666,0,0,0,0,16.25,16.25,America/Chicago,USA,2018,True,Final,Final,2016-2018
FargoFall2019,c,10,28,0,0,0,0,0,0,0,0,666,0,0,0,0,11.25,11.25,America/Chicago,USA,2019,True,Final,Final,2019-2022
FarnworthSpringA2022,c,22,64,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,United Kingdom,2022,True,Final,Final,2019-2022
FarnworthSpringC2022,d,11,33,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,United Kingdom,2022,False,Early,First round,2019-2022
FarnworthSpringC2022,f,8,24,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,United Kingdom,2022,True,Final,Final,2019-2022
FastestFingersFirstPune2025,c,6,18,0,0,0,0,0,0,0,0,666,0,0,0,0,15.5,15.5,Asia/Calcutta,India,2025,True,Final,Final,2023-2026
FatimaenMontevideo2024,c,14,38,0,0,0,0,0,0,0,0,666,0,0,0,0,9.5,9.5,America/Montevideo,Uruguay,2024,True,Final,Final,2023-2026
FebruaryFitzroyFun2023,d,24,62,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,Australia,2023,False,Early,First round,2023-2026
FebruaryFitzroyFun2023,e,18,54,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,Australia,2023,False,Early,Second round,2023-2026
FebruaryFitzroyFun2023,f,6,18,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,Australia,2023,True,Final,Final,2023-2026
FeevaleNHOpen2017,f,5,15,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,Brazil,2017,True,Final,Final,2016-2018
Fenix2014,d,29,69,1,1,0,0,0,0,1,1,666,2,0,0,2,,,,Mexico,2014,False,Early,First round,2011-2015
Fenix2014,f,9,27,1,1,0,0,0,0,1,1,666,2,0,0,2,,,,Mexico,2014,True,Final,Final,2011-2015
FenixMexico2022,c,47,83,0,0,0,0,0,0,0,0,666,0,0,0,0,9.75,9.75,America/Mexico_City,Mexico,2022,True,Final,Final,2019-2022
FestivalCuberoCubico2019,d,23,59,0,0,0,0,0,0,0,0,666,0,0,0,0,11.5,11.5,America/Bogota,Colombia,2019,False,Early,First round,2019-2022
FestivalCuberoCubico2019,f,8,24,1,1,0,0,1,0,0,1,666,2,0,1,1,14.5,14.5,America/Bogota,Colombia,2019,True,Final,Final,2019-2022
FinnishChampionship2015,f,3,9,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,Finland,2015,True,Final,Final,2011-2015
FinnishChampionship2016,c,8,16,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,Finland,2016,True,Final,Final,2016-2018
FinnishChampionship2017,d,18,42,1,0,0,0,0,0,1,0,666,1,0,0,1,,,,Finland,2017,False,Early,First round,2016-2018
FinnishChampionship2017,f,7,21,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,Finland,2017,True,Final,Final,2016-2018
FinnishChampionship2018,d,12,28,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,Finland,2018,False,Early,First round,2016-2018
FinnishChampionship2018,f,6,18,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,Finland,2018,True,Final,Final,2016-2018
